banks,Reuter,RTNS,Messenger,Phone,E-mail,Fax
ANZ SL,,O,,,,
BONY SL,,,,,,
BBVA SL,O,,,,,
BNP SL,O,,,,,
BOA SL,,O,,,O,
MUFG SL,,,,,,O
BUSAN SL,O,,,,,
CA-CIB SL,O,,,,,
CCB SL,O,,,,,
CITI SL,O,,,,,
DAEGU SL,,,O,,,
DBS SL,,,O,,,
DEUTSCHE SL,,,,,O,
DAISHIN SL,,,,,,
HSBC SL,O,,,,,
IBK SL,O,,,,,
ICBC SL,,,,O,,
ING SL,,,,O,,
JPMC SL,,O,,,,
KOOKMIN SL,,,,,O,
KDB SL,O,,,,,
KEB HANA SL,O,,,,,
KEB SL,O,,,,,
HANA SL,O,,,,,
BOC SL,O,,,,,
MERITZ SL,,,,,O,
MIRAE SL,,,,,,
MIZUHO SL,O,,,,,
MORGAN SL,O,,,,,
NOMURA SL,,O,O,,,
NONGHYUP SL,,,O,,,
NOVA SL,O,,,,,
KOREA INVEST SL,O,,,,,
SC SL,O,,,,O,
SHINHAN SL,O,,,,,
SOCGEN SL,O,,,,,
SSBT SL,,,,,,
SUHYUP SL,O,,,,,
UBS SL,O,,,,,
UOB SL,,,O,O,,
WOORI SL,O,,,,,
NH-INVEST SL,,,O,,,O
HANA SEC SL,,,,,,
SHINHAN INVEST SL,,,,,,
KB SEC SL,,,,,,
SAMSUNG SEC SL,,,,,,
KIWOOM SL,,,,,,
SMBC SL,,,,,,
KYONGNAM SL,,,,,,
IBK SEC SL,,,,,,