b = boundary,houses,product,currency,fpm,mp1,ppd1,b1,ppd2,b2,ppd3,b3,ppd4
ppd = price per day,ANZ SL,,,,,,,,,,,
mp = max price,BONY SL,,,,,,,,,,,
fpm = fixed per mio,BBVA SL,,,,,,,,,,,
,BNP SL,,,,,,,,,,,
,BOA SL,,,,,,,,,,,
,MUFG SL,,,,,,,,,,,
,BUSAN SL,,,,,,,,,,,
,CA-CIB SL,,,,,,,,,,,
,CCB SL,,,,,,,,,,,
,CITI SL,,,,,,,,,,,
,DAEGU SL,,,,,,,,,,,
,DBS SL,,,,,,,,,,,
,DEUTSCHE SL,,,,,,,,,,,
,DAISHIN SL,,,,,,,,,,,
,HSBC SL,,,,,,,,,,,
,IBK SL,,,,,,,,,,,
,ICBC SL,,,,,,,,,,,
,ING SL,,,,,,,,,,,
,JPMC SL,,,,,,,,,,,
,KOOKMIN SL,df,krw,,"5,000.00","1,000.00",<1w,"5,000.00",<1m,"10,000.00",<2m,"15,000.00"
,KDB SL,nd,krw,"15,000.00",,,,,,,,
,KDB SL,,,,,,,,,,,
,KDB SL,,,,,,,,,,,
,KEB HANA SL,df,usd,,,1.00,<1w,10.00,<1m,15.00,<1y,25.00
,KEB SL,nd,usd,,,1.00,<1w,10.00,<1m,15.00,<1y,15.00
,KEB SL,,,,,,,,,,,
,HANA SL,,,,,,,,,,,
,BOC SL,,,,,,,,,,,
,MERITZ SL,,,,,,,,,,,
,MIRAE SL,,,,,,,,,,,
,MIZUHO SL,,,,,,,,,,,
,MORGAN SL,,,,,,,,,,,
,NOMURA SL,,,,,,,,,,,
,NONGHYUP SL,,,,,,,,,,,
,NOVA SL,,,,,,,,,,,
,KOREA INVEST SL,,,,,,,,,,,
,SC SL,,,,,,,,,,,
,SHINHAN SL,,,,,,,,,,,
,SOCGEN SL,,,,,,,,,,,
,SSBT SL,,,,,,,,,,,
,SUHYUP SL,,,,,,,,,,,
,UBS SL,,,,,,,,,,,
,UOB SL,,,,,,,,,,,
,WOORI SL,swap,usd,,5.00,1.00,<1w,5.00,<1m,15.00,<=1y,20.00
,NH-INVEST SL,,,,,,,,,,,
,HANA SEC SL,,,,,,,,,,,
,SHINHAN INVEST SL,,,,,,,,,,,
,KB SEC SL,,,,,,,,,,,
,SAMSUNG SEC SL,,,,,,,,,,,
,KIWOOM SL,,,,,,,,,,,
,SMBC SL,,,,,,,,,,,
,KYONGNAM SL,,,,,,,,,,,
,IBK SEC SL,,,,,,,,,,,